website,restaurant_name,restaurant_href,review_author,review_text,review_rating_total,review_rating_food,review_rating_service,review_rating_atmosphere,review_rating_overall_impression,review_rating_price_quality_ratio,review_len,language
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,VIKTORIA,"Üks parimaid restoranikogemusi ja maitseelamusi, mida Eestist leida võib. Väliskülalised olid samuti täiesti vaimustuses!",5.0,5.0,5.0,5.0,5.0,5.0,14,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,MINNA-MAI,"Imeline kogemus. Nii mõnus vibe ja toredad teenindajad. Peakoka poolt toitude kirjeldus andis erilisema tunde. Toidukorrad olid jumalikud, huvitavad maitsekombinatsioonid ning igas ampsus oli midagi hapukat, rammusat, krõmpsu ja imelist ☺️ vahepealne mõisakülastus oli hea virgutus toitude vahele. Meeldis ka see, et kokale on jäetud loominguline vabadus ning kunagi ei tea mitu päeva ette, mis lauda tuleb…",5.0,5.0,5.0,5.0,5.0,5.0,57,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,TRIIN,"Suurepärane maitseelamus, atmosfäär ja toitude kõrvale sobitatud joogivalik, imeline!",5.0,5.0,5.0,5.0,5.0,5.0,9,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,KALLE,"Suurepärane koht nautida häid toite, teenindust, atmosfääri",4.8,5.0,5.0,5.0,5.0,4.0,7,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,HELERI,"Aitäh Teile !!!
Oli suurepaärane õhtu imeliste maitsete ja meelidiva teenindusega.
Pange täiega edasi ja kohtumiseni",5.0,5.0,5.0,5.0,5.0,5.0,16,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,MARGIT,"Jäime õhtuga väga rahule. Nii toit, teenindus, kui ka üldine atmosfäär olid suurepärased.",5.0,5.0,5.0,5.0,5.0,5.0,13,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,REET,"Kõik ääretult maitsev.Me omakeskis naersime,et kui silmad kinni siduda,siis kõik on nii hea,aga aru ei saa mida täpselt sõõd.Ainult kiidusõnad ja jõudu ja jaksu kõigile.",5.0,5.0,5.0,5.0,5.0,5.0,25,et
DinnerBooking,SOO Restaurant,https://dinnerbooking.com/ee/et-EE/r3913/soo-restaurant,ANU,"Suurepärased maitsed ja teenindus. Tuur mõishoonesse sobis imehästi roogade vahele oma konserveeritud interjööriga. Restoran on igati väärt kõrget tunnustust. Üks parimaid toidukogemusi Eestis, mida olen saanud.",5.0,5.0,5.0,5.0,5.0,5.0,26,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,LEILA,"Väga meeldis ja soovitan ka teistele. Sooja südamega pere, kes avab oma kodu uksed teistele hea ja paremaga ning tõestab, et lahkusel ja headusel ei ole piire. Aitäh!",5.0,5.0,5.0,5.0,5.0,5.0,28,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARIS,"Haruldane atmosfäär, imelised maitsed ja ülitore teenindajate meeskond.",5.0,5.0,5.0,5.0,5.0,5.0,8,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,RAGNAR,"Suurepärane atmosfäär, ülimalt sõbralik ja vahetu pererahvas ning muidugi väga maitsev toit.",5.0,5.0,5.0,5.0,5.0,5.0,12,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MAREK-MEELIS,Maitsev toit ja hea atmosfäär,5.0,5.0,5.0,5.0,5.0,5.0,5,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARIKA,Kõik oli super,4.8,5.0,5.0,5.0,5.0,4.0,3,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ANTS,Suurepärane kogemus ja väga hea ning huvitav toit,5.0,5.0,5.0,5.0,5.0,5.0,8,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ANONYMOUS,"Äärmiselt armas koht, väga kodune mõnus atmosfäär. Üllatav ja maitsev toit!",5.0,5.0,5.0,5.0,5.0,5.0,11,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KÄTLIN,Aitäh taaskord suurepärase õhtusöögi ja õhtu eest! Tuleme varsri jälle!,5.0,5.0,5.0,5.0,5.0,5.0,10,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KARIN,"Lahepere Villast on kujunenud nüüdseks absoluutne lemmikkoht, kuhu tuleme oma pere
tähtpäevi pidulikult ja väljapeetult tähistama. Uus menüü pakub iga kord põnevaid üllatusi, paitab meeli
ega sunni pettuma! Perenaine Helen on selle maja haldjas, kelle vastuvõtt on alati tähelepanelik ja siiralt soe.
Peakokk Sander oma oskuslikkusega hoiab Lahepere kõrget kulinaarset taset!
Väga hea tunne on olla alati oodatud!
Suur ja südamlik tänu!
Zurbuchenid",4.8,5.0,5.0,5.0,5.0,4.0,63,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KATRE,"Hea Lahepere Villa pere!

Sügav kummardus kogu Teie perele!
Külastasime restorani esimest korda ja kindlasti ei jää see viimaseks külastuseks. Aitäh hea toidu ja koduselt sooja vastuvõtu eest!

Kohtumiseni,
Katre ja Tõnu",5.0,5.0,5.0,5.0,5.0,5.0,32,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ANDREI,Imelised maitsed!!! Super!!! Kindlasti tuleme jälle!!!,5.0,5.0,5.0,5.0,5.0,5.0,6,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KETSIA,Oli taas suurepärane sattuda nii sooja vastuvõtu ning hea toidu seltskonda!,5.0,5.0,5.0,5.0,5.0,5.0,11,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,JUSS,"Väga hubane ja kodune vastuvõtt, õhtusöögiga samuti väga rahul.
Soovitan ka majutust, üpris hubane ja rahulik ööbimine.",5.0,5.0,5.0,5.0,5.0,5.0,17,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KAZBULAT,Ainult 1 sõna – suurepärane! Bravo!,5.0,5.0,5.0,5.0,5.0,5.0,6,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARGE,"Personaalne ja sõbralik teenindus. Külalised on Laheperevillas väga oodatud, seda on tunda atmosfääris ja inimestes. Oktoobri menüü on imeline. Maitsete ja tekstuuride kooskõla. Tänud elamuse eest!",5.0,5.0,5.0,5.0,5.0,5.0,26,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MONIKA,"Suurepärane toit, kõik käigud olid ülimaitsvad, oli väga eriline maitserännak. Samuti pererahvas on nii tore ja koht hubane.",5.0,5.0,5.0,5.0,5.0,5.0,18,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,GRETE,"Väga tore elamus. Toidud olid imemaitsvad ja üllatavad. Eriti tore oli, et võimaldati ka väikelapsele süüa.",5.0,5.0,5.0,5.0,5.0,5.0,16,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,SILJA,"Suured, suured tänud selle suurepärase õhtu ja maitseelamuste eest! Oli selline tunne nagu oleks vanadele tuttavatele külla tulnud. Nii hubane atmosfäär, sõbralikud, toredad ja külalislahke pererahvas. Maitsed olid lihtsalt ebamaised. Tõeline nauding algusest lõpuni! Tänud veelkord!",5.0,5.0,5.0,5.0,5.0,5.0,36,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,AILI,Kõik oli väga meeldiv ja maitsev!,5.0,5.0,5.0,5.0,5.0,5.0,6,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ANDRUS,Kõik oli supper hea :),5.0,5.0,5.0,5.0,5.0,5.0,5,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KELLI,"Super elamus! Looduskaunis koht, mõnusad minivillad mändide keskel ja hubane restoran, mis pakkus viimase peal toite- niivõrd hea maitseelamus! Super teenindus ja inimesed! Soovitame kõigile soojalt!",5.0,5.0,5.0,5.0,5.0,5.0,26,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ASTRID,"Meeldis, söök oli väga hea, söögiinfo veidi kiirustav, aga informatiivne. Kõik küsimused said vastuse. Asukoht ja interjöör suurepärane. Soovitada julgeme küll, meil oli tore!",4.4,4.0,4.0,5.0,5.0,4.0,24,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,TERJE,"Suur tänu, oli väga tore õhtu maitsva söögiga. Sai oli megahea",4.8,5.0,5.0,5.0,5.0,4.0,11,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,LIINA,"Imeline toit, suurepärane ja sõbralik teenindus.",5.0,5.0,5.0,5.0,5.0,5.0,6,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,GERDA,"Aitäh suurepärase elamuse eest! Toit oli maitsev, eriliseks lemmikuks osutus magustoit. Väga meeldiv oli ka, et saime süüa terrassil värske õhu käes. Lisaks jäi meelde personaalsus - töötajad ei teinud tuima näoga lihtsalt tööd, vaid kõik olid hingega asja juures. Erakordselt tore ka, et õhtul armsale koerale tere öelda saime :)",5.0,5.0,5.0,5.0,5.0,5.0,51,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ANGELIKA,"Väga hoolivad ja hoolitsevad vastuvõtjad ja suurepärane maitserännak! Nagu oleks külas käinud:) Erilised tänud kokkadele, kes arvestasid ühe külastaja erisoovidega.",5.0,5.0,5.0,5.0,5.0,5.0,20,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARGUS,"Atmosfäär, teenindus ja söögid, kõik oli äärmiselt hubane ja suurepärane.",5.0,5.0,5.0,5.0,5.0,5.0,10,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,RA,Kõik on suurepärane. Soovitan,5.0,5.0,5.0,5.0,5.0,5.0,4,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MONIKA,"See oli meile mitmes kord Lahepera villat külastada, kindlasti ei jää see viimaseks - toit, teenindus ja üldine õhustik on endiselt tipptasemel.",5.0,5.0,5.0,5.0,5.0,5.0,22,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MIKK,"Atmosfäärile ei pannud suurepärane, sest veidi keeruline oli 10se seltskonnaga vestelda, teised lauad olid ka täis ehk siis vahepeal oli veidi vali.
Muidu kõik hästi, söök meeldis kõigile, hind ei ole just soodne, aga kui võrrelda Noa ja 180kraadi sugustega siis soodukas.",4.8,5.0,5.0,4.0,5.0,5.0,42,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,AGNES,Kõik oli suurepärane ja jäime väga rahule. Kokad leidsid lahenduse ka meie väikesele murele nisujahu talumatuse suhtes ja see rõõmustas meid väga.,4.8,5.0,5.0,5.0,5.0,4.0,22,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MAARJA,Suurepärane õhtusöök koduses atmosfääris.,4.6,5.0,5.0,4.0,5.0,4.0,4,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ELLE,Kõik oli suurepärane! Tütre esimene restorani külastus ning mulje ülihea. Aitäh !,4.8,5.0,5.0,5.0,5.0,4.0,12,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KÜLLI,Oleme Lahepere perele ja köögi meeskonnale väga tänulikud elamusliku õhtu eest.,5.0,5.0,5.0,5.0,5.0,5.0,11,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KAI,Oli väga meeldiv ja tore õhtu. Soe ja südamlik pererahvas. Soovitan kindlasti Teie toredat restorani ka sõprade. Jõud ja vastupidavust Teile edaspidiseks,4.8,5.0,5.0,5.0,5.0,4.0,22,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,RANNER,Tundsin nagu oleksin sõpradele külla saabunud. Nautisin iga hetke ning toitu.,5.0,5.0,5.0,5.0,5.0,5.0,11,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,URMAS,Toidud natuke liiga hapukad. Tuleme jälle !,3.4,2.0,4.0,4.0,4.0,3.0,7,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,HELENA,"Toit oli väga maitsev. Teenindus sõbralik, meeldiv ja kiire. Super resto keset loodust.",4.8,5.0,5.0,5.0,5.0,4.0,13,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,KATRIN,"Parim kogemus, mis on seni olnud.",5.0,5.0,5.0,5.0,5.0,5.0,6,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ALLI,"Olime sellises ""ära märgitud"" kodurestoranis esimest korda. Kõike seda võrratud ümbrust, toitu ning soojust millega meid vastu võeti on raske panna sõnadesse. Nautisime abikaasaga igat minutit.Toit vôrratu: millised huvitavad maitsekooslused, igas kahvli/ lusika täies oli tunda koka armastust toidu vastu ( majasai oli niivõrd hea,et sõime rohkem kui pererahvas oli planeerinud ühele inimesele",5.0,5.0,5.0,5.0,5.0,5.0,53,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,LIINA,Suurepärased söögid ja kodune õhkkond. Imeline!,5.0,5.0,5.0,5.0,5.0,5.0,6,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,AGNES,"Lahepere Villa kodurestos on lihtsalt väga hea olla. Kui lisada veel toidud, mida pakutakse, muutubki kõik suurepäraseks. Seekordne eriõhtusöök oli üle ootuste oodatav, ma ütleks, kuna 2 kokka oma headuses olid mulle varem teada, oli kindlapeale tulek.",4.8,5.0,5.0,5.0,5.0,4.0,37,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARIA,"Võrratud maitsed ja atmosfäär, lisaks suurepärased alkoholivabad kokteilid! Peale head toitu saab nautida maalilist päikeseloojangut!",5.0,5.0,5.0,5.0,5.0,5.0,15,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,ELINA,"Imeline kogemus absoluutselt igas aspektis. Toit oli vapustav, teenindus meeldiv ning koht ise samuti idülliline.",5.0,5.0,5.0,5.0,5.0,5.0,15,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,HELEN,"Armas, rahulik ja hubane keskkond. Nagu oleks külas. Toidud olid väga maitsvad ja väga hästi valmistatud.",5.0,5.0,5.0,5.0,5.0,5.0,16,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,JULIUS,"Mega mõnus koht ja super toit! Iga toit üllatas ning suur ravioli oli ulmeliselt maitsev!
Meil oli mega lahe elamus!",5.0,5.0,5.0,5.0,5.0,5.0,20,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,GERLI,"Aitäh imelise maitseelamuse, esmaklassilise teeninduse ning koduselt hubase keskkonna eest!",4.8,5.0,5.0,5.0,5.0,4.0,10,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARIKA,õige asi õiges kohas imelise koka ja söögiga!,5.0,5.0,5.0,5.0,5.0,5.0,8,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,HELLE,"Aegade parim võõrustamine! Tunned, et oled oodatud!",5.0,5.0,5.0,5.0,5.0,5.0,7,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARJU,väga super toiduelamus,5.0,5.0,5.0,5.0,5.0,5.0,3,et
DinnerBooking,Lahepere Villa,https://dinnerbooking.com/ee/et-EE/r3023/lahepere-villa,MARIS,"Ma olen ääretult tänulik, et sain jälle veeta ühe mõnusa õhtu sellises maagilises kohas nagu Lahepere Villa... Silver ikka ja jälle üllatas oma huvitavate ja mega maitsvate roogadega. Aga see kõik maitseb ju veel paremini kui haldjalik majaperenaine Helen oma soojuse ja sõbralikkusega meid alati väga oodatud külalistena vastu võtab ja kuni õhtusöögi lõpuni meie eest armsalt hoolitseb. Suur-suur tänu, et olete just sellised nagu olete ja peatsete uute kohtumisteni ❤️!",5.0,5.0,5.0,5.0,5.0,5.0,71,et
